ISIN,AR_4,Coef_4,AR_6,Coef_6,AR_8,Coef_8,AR_10,Coef_10,AR_12,Coef_12,AR_14,Coef_14,AR_16,Coef_16,AR_18,Coef_18,AR_20,Coef_20
GB00B62G9D36,-3.9495397031455646,0.8944216345070143,-3.1001927813751466,0.6543632811053102,-3.228917549501445,0.5681713223509848,-2.867653280718846,0.4084373571701009,-2.6949048870037235,0.3163466529159389,-2.643282731913482,0.3252203076423462,-2.4609565933263076,0.31424109814860146,-2.4175539646412636,0.31883300161548267,-2.4397840485403672,0.3244313206235637
GB00BF044593,-0.8148705600284967,0.2203641780570832,-1.0480621330426785,0.17220395753118056,1.976994688753106,0.1755822603587257,1.9568605583439849,0.1834427012451436,2.979682784169789,0.043484680758720695,2.820973182831483,0.15263043404263799,3.9329038695538374,0.002437762634837193,3.823045509819397,0.003961650686458484,3.6262030286062514,0.040255326599405006
GB00B4YZN328,-4.323287263994525,0.5666370756999217,-4.641189387294316,0.04985569898956976,-4.611061913843157,0.26407501920264365,-4.684285573093014,0.25289472128836354,-4.534089550775637,0.22640047422513332,-5.044559604408364,0.05850640635568394,-5.674797374529407,0.02495543265851996,-6.579649228654623,0.003547040115012612,-6.780608496551032,0.010378194771373472
GB00BLNN3L44,cours non disponible,ERR,cours non disponible,ERR,cours non disponible,ERR,cours non disponible,ERR,cours non disponible,ERR,cours non disponible,ERR,cours non disponible,ERR,cours non disponible,ERR,cours non disponible,ERR
GB00BD6K4575,-0.2025793722034711,0.21954949805559565,0.8235803042043487,0.059718120294232624,1.3692342878805368,0.004887612718977974,1.208945623337076,0.1472977943394902,1.5021766962658052,0.14526941181814368,2.0129008526392793,0.08010373782412084,2.320189142728477,0.07662832273501463,2.6183950642072755,0.04711956092833991,2.4523475764708196,0.10688328708373229
GB00BYPHNG03,-0.41390282692117064,0.3365345737719706,-1.1570575599734412,0.13465448376885325,-1.384721407602976,0.04959662366375783,-1.7497895854587682,0.0031825378389597203,-1.8404500689596524,0.036261420310116366,-1.7154299098576964,0.0013105906514561116,-1.5487087105093782,0.07726295607792877,-1.2764651173734158,0.28508768948453345,-1.4088044570552127,0.2986642055704769
GB0002318888,0.9160800500950704,0.4666464523710664,0.7720622741020512,0.6483072793821494,0.3507495346173211,0.7415715137586563,-0.30056267838286554,0.47161356361362505,-0.40590815856915363,0.4841646127814284,-0.3139342354579445,0.4674143586207202,-0.35472033329268826,0.4274868276694027,-0.30791030252154544,0.4085643646088156,-0.19258972744802677,0.37685427720305675
GB00BYZWX769,cours non disponible,ERR,cours non disponible,ERR,cours non disponible,ERR,cours non disponible,ERR,cours non disponible,ERR,cours non disponible,ERR,cours non disponible,ERR,cours non disponible,ERR,cours non disponible,ERR
GB00B4Y7R145,-3.421413378577345,0.1407542401668086,-4.929062952216282,0.5195174485033227,-6.329103587866459,0.6469172601710075,-7.02997827046255,0.6370546775779125,-7.604325687182432,0.6409578581044295,-7.521948462309881,0.649224702112899,-7.089831917941397,0.5857782038732167,-6.518319740371971,0.4192576882380049,-6.089161385079846,0.3515308118150122
GB00BFZ4N465,3.3111213708491105,0.9581720243451772,3.533199543387924,0.9063873851617763,3.8171907677349184,0.8075258660032401,4.222015194926694,0.24131529572639787,4.643609776625122,0.1000990997607667,5.046934443981444,0.06726992840539947,4.892825572592212,0.10868402869959304,4.881658469209163,0.17396990722569405,4.864992975235396,0.21755051513367452
GB00B3DGH821,3.383977997025304,0.3143953757964324,6.684248536797778,0.20263048498299496,10.183701366623286,0.5980677464625573,9.644717227294912,0.7059652201308562,9.778458863669174,0.7395000200193014,8.710860614117395,0.7411812224744481,6.226883888364007,0.6892844275238512,5.426225287811547,0.6791322573218667,-2.00215198427178,0.44388510070000065
GB00B4JV1B90,cours non disponible,ERR,cours non disponible,ERR,cours non disponible,ERR,cours non disponible,ERR,cours non disponible,ERR,cours non disponible,ERR,cours non disponible,ERR,cours non disponible,ERR,cours non disponible,ERR
GB0002652740,0.39527884663318535,0.005759877007469161,0.4508171652138645,0.01854358109853016,0.7727002237320977,0.11816101384775712,0.6584923324262036,0.11800903904740356,0.21286872570705317,0.048763424710474235,0.3526409678710163,0.0686595216315441,1.2194953867655167,0.23681920358451025,1.3359799659626108,0.3075123693071494,1.3986479143129342,0.3282233448180537
GB0002374006,0.9090980261482331,0.5984371151157255,0.9413884741407283,0.5024286251960828,1.6135172791718506,0.3200127021429974,1.252754105018012,0.2567111244874708,-0.39952602385453573,0.033593820606045655,-1.2717597380306822,0.00038202031090794897,-0.6929982918998294,0.04759427860208121,-0.21385130824732335,0.15283490367906583,-0.16668836329801623,0.19285967125934966
GB00BY9D0Y18,3.793144777249275,0.01384819194556508,2.904747583481194,0.4396176028839577,2.4483700473266596,0.6113394474676841,2.3562057081635195,0.7247385886677922,2.7294537887140953,0.8252660950780601,2.7857576798752186,0.8550167594709512,3.2273078369155628,0.8227496782766007,3.3441633451084742,0.7929174229108416,3.4102830009888896,0.7718258962409814
GB00BYN59130,-1.105030000441357,0.07455038115312329,-1.4893839396118664,0.051459979385973464,-1.82725452284077,0.0028514932913442648,-1.6334956038241668,0.030726610343290828,0.04608398518624393,0.4329077891391079,-1.2487624366482295,0.16989432248622682,-1.936890935055919,0.06217600452440297,-1.8878303849810942,0.11182765846743503,-1.7115728000442925,0.20862458618638546
GB0008220112,-0.7315127735954496,0.6890008373403258,-0.2541828841879701,0.9036702012531361,-0.11701208840492264,0.9026200610884918,0.13179086153349215,0.9156247856143661,-0.04706874103972761,0.8882128648625075,-0.01728914044067595,0.878979711273594,0.1453249613706742,0.8738949480263477,-0.5229274341971408,0.7353161571399872,-0.6858398497515517,0.6843336370288955
GB00BJMD6M39,-4.807550344811688,0.03320557966235527,-3.7924504574699522,0.006643297696524719,-1.9061653148237796,0.05544561859941821,-2.9824227832028103,0.0009562655218078309,-3.051339515746028,0.0014747542349556886,-3.2443895870606863,0.013737532657343343,-4.805043070558836,0.17619028159156536,-4.291286329964672,0.13592085911644758,-3.713508022518196,0.11307024836489976
GB00B7KR2P84,-12.078731885130429,0.3264862891247411,-2.7258407342857756,0.501927511519533,-4.542284870013328,0.2265152189828643,-5.6904154967162475,0.14526163694948768,-5.756259847924272,0.12618582658134203,-6.749405156600381,0.09811228813388673,-6.290301997815903,0.15278432958268273,-6.1505383804957,0.22906231639314723,-5.3919674580373265,0.35870616445546444
GB00B19NLV48,-1.049783259165978,0.572114763534012,0.5764770487576655,0.06558304093274248,0.9079047500268537,0.19417755153969218,1.0782624846655198,0.34172036668168726,1.3560030274535153,0.25085537778924016,1.0406724728558996,0.2781264069808417,0.9108632792176327,0.3098622418746445,1.0030634725717562,0.17801849942505021,1.0879467461109158,0.04591549947114326
GB00BLWDVP51,2.2397254636200485,0.09871684333721253,5.809003604248114,0.029711894233449554,3.2333463804380616,0.012529562279034678,4.79716744135256,0.07351734401497556,4.796740820840674,0.07107107065135476,4.659306873850255,0.008241195972551907,2.97008201382831,0.05661598782188704,3.25780406216185,0.046600499626446634,3.574497860332558,0.04180163060091413
GB00BRJ9BJ26,-2.683668250039107,0.776053046163109,-3.201218747105794,0.7998851049786466,-3.22048138514779,0.807388824558549,-3.407260900012847,0.8067095350893665,-0.03177322772588975,0.0070755956071122394,-1.0499860088078468,0.002496286442796647,-3.5831214431300302,0.08012516931582014,-4.7500723201336275,0.1572522836493675,-5.63805982614812,0.20114926821063395
GB00B8B4R053,pas de données sur la période voulue,ERR,pas de données sur la période voulue,ERR,pas de données sur la période voulue,ERR,pas de données sur la période voulue,ERR,pas de données sur la période voulue,ERR,pas de données sur la période voulue,ERR,pas de données sur la période voulue,ERR,pas de données sur la période voulue,ERR,pas de données sur la période voulue,ERR
GB0009252882,cours non disponible,ERR,cours non disponible,ERR,cours non disponible,ERR,cours non disponible,ERR,cours non disponible,ERR,cours non disponible,ERR,cours non disponible,ERR,cours non disponible,ERR,cours non disponible,ERR
GB0003753778,2.2501127640598635,0.09180101541982988,2.3826877584702437,0.044184111634953505,3.6857843878829337,0.11536619900462819,5.301896453468095,0.41011233983205053,3.9695093430723993,0.12415646972683525,2.75979965442732,0.0021609961215235396,1.0339955324342258,0.10890116704625108,0.6661947180108697,0.20818509168388954,0.4373431864365198,0.17657246721184905
GB0033600353,-0.11354787593426023,0.29186596134490184,-1.8588208046352888,0.3405868883983003,-3.235703654745401,0.34000242467199715,-3.756381581982392,0.33607301509399057,-3.750799855143564,0.32933362806511657,-4.020768443156347,0.353890161632998,-4.501597740089602,0.28716903040871866,-5.859399068000401,0.09613105355076279,-7.59850926627248,0.00436481738694916
GB00B01FLL16,cours non disponible,ERR,cours non disponible,ERR,cours non disponible,ERR,cours non disponible,ERR,cours non disponible,ERR,cours non disponible,ERR,cours non disponible,ERR,cours non disponible,ERR,cours non disponible,ERR
GB00B012TP20,0.04648514760805869,0.00014700972134529255,-1.4967380488760944,0.012519541446304183,-2.0655525189481074,0.0010052571614082018,-2.8261488856029597,0.03344102702226193,-2.944620333823379,0.05255662126284766,-3.0225886667492667,0.018633044120578868,-3.029513541159994,0.01941243539403681,-2.6948813087007957,0.1258119577122453,-2.8766267150307705,0.16133799126874881
GB0004161021,-4.906523128912431,0.40174273926044846,-4.978338159289887,0.33535618379696597,-4.771901689560458,0.09271362241764214,-4.686216834968285,0.11044580234631174,-5.119182748240634,0.5872880231737623,-5.023532995932209,0.6252577495577312,-5.628164726025416,0.7092104877120564,-5.473727818458639,0.6664120259547046,-5.791564566534474,0.5340724948636193
GB00B1V9NW54,-4.620287911577797,0.04147707173831172,-3.5276961434532192,0.00010607382357408213,-4.31731221049895,0.04962305390259236,-0.13968377680981803,0.06734434265949985,0.0231881925112175,0.07569505484376415,-0.11107553661653513,0.03138859631793689,0.9752552054953665,0.06170695338897514,1.283243425138697,0.09897753520227459,0.8018059753849067,0.06372903433126553
GB0004544929,-1.1139786908232314,0.37065915999392396,-1.079255025718739,0.035936010887470116,-1.0992500927512698,0.00017999970683735267,-0.699815736219665,0.0007804674562204017,-0.6440366868516169,0.041661876053273095,-0.7658887712961299,0.003624203374226309,-0.5309567539860197,0.26733457067269084,-0.5352440389537606,0.3396319533322809,-0.533722401158746,0.36419668236947456
